Player Id,Player Name,2022/2023,2023/2024,2024/2025,2024/2025
1,Stephen Curry,"$48,070,014 ","$51,915,615 ","$55,761,217 ","$59,606,817 "
2,John Wall,"$47,345,760 ",$0 ,$0 ,$0 
3,Russell Westbrook,"$47,080,179 ",$0 ,$0 ,$0 
4,LeBron James,"$44,474,988 ","$46,698,737 ","$50,434,636 ",$0 
5,Kevin Durant,"$44,119,845 ","$47,649,433 ","$51,179,020 ","$54,708,608 "
6,Bradley Beal,"$43,279,250 ","$46,741,590 ","$50,203,930 ","$53,666,270 "
7,Paul George,"$42,492,492 ","$45,640,084 ","$48,787,676 ",$0 
7,Kawhi Leonard,"$42,492,492 ","$45,640,084 ","$48,787,676 ",$0 
7,Giannis Antetokounmpo,"$42,492,492 ","$45,640,084 ","$48,787,676 ","$51,935,268 "
7,Damian Lillard,"$42,492,492 ","$45,640,084 ","$48,787,676 ","$58,545,211 "
11,Klay Thompson,"$40,600,080 ","$43,219,440 ",$0 ,$0 
12,Kyrie Irving,"$38,917,057 ",$0 ,$0 ,$0 
13,Rudy Gobert,"$38,172,414 ","$41,000,000 ","$43,827,586 ","$46,655,173 "
14,Khris Middleton,"$37,984,276 ","$40,396,552 ",$0 ,$0 
15,Anthony Davis,"$37,980,720 ","$40,600,080 ","$43,219,440 ",$0 
16,Jimmy Butler,"$37,653,300 ","$45,183,960 ","$48,798,677 ","$52,413,394 "
17,Tobias Harris,"$37,633,050 ","$39,270,150 ",$0 ,$0 
18,Kemba Walker,"$37,281,261 ",$0 ,$0 ,$0 
19,Trae Young,"$37,096,500 ","$40,064,220 ","$43,031,940 ","$45,999,660 "
19,Zach LaVine,"$37,096,500 ","$40,064,220 ","$43,031,940 ","$45,999,660 "
19,Luka Doncic,"$37,096,500 ","$40,064,220 ","$43,031,940 ","$45,999,660 "
22,Ben Simmons,"$35,448,672 ","$37,893,408 ","$40,338,144 ",$0 
22,Pascal Siakam,"$35,448,672 ","$37,893,408 ",$0 ,$0 
24,Myles Turner,"$35,096,500 ","$20,975,000 ","$19,928,500 ",$0 
25,Jrue Holiday,"$34,319,520 ","$36,861,707 ","$39,403,894 ",$0 
26,Karl-Anthony Towns,"$33,833,400 ","$36,016,200 ","$50,050,000 ","$54,054,000 "
26,Devin Booker,"$33,833,400 ","$36,016,200 ","$50,050,000 ","$54,054,000 "
26,Kristaps Porzingis,"$33,833,400 ","$36,016,200 ",$0 ,$0 
29,Joel Embiid,"$33,616,770 ","$46,900,000 ","$50,652,000 ","$54,404,000 "
29,Andrew Wiggins,"$33,616,770 ","$24,330,357 ","$26,276,786 ","$28,223,215 "
